"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_notAfter","arthur.lutz.im/82.65.202.15","443","OK","2022-02-28 04:28","",""
"cert_extlifeSpan","arthur.lutz.im/82.65.202.15","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","arthur.lutz.im/82.65.202.15","443","INFO","not present","",""
"cert_crlDistributionPoints","arthur.lutz.im/82.65.202.15","443","INFO","--","",""
"cert_ocspURL","arthur.lutz.im/82.65.202.15","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","arthur.lutz.im/82.65.202.15","443","OK","offered","",""
"cert_ocspRevoked","arthur.lutz.im/82.65.202.15","443","OK","not revoked","",""
"cert_mustStapleExtension","arthur.lutz.im/82.65.202.15","443","INFO","--","",""
"DNS_CAArecord","arthur.lutz.im/82.65.202.15","443","OK","issue=letsencrypt.org","",""
"certificate_transparency","arthur.lutz.im/82.65.202.15","443","OK","yes (certificate extension)","",""
"certs_countServer","arthur.lutz.im/82.65.202.15","443","INFO","3","",""
"certs_list_ordering_problem","arthur.lutz.im/82.65.202.15","443","INFO","no","",""
"cert_caIssuers","arthur.lutz.im/82.65.202.15","443","INFO","R3 (Let's Encrypt from US)","",""
