"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_notBefore <#2>","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","2021-01-20 19:14","",""
"intermediate_cert_notAfter <#2>","www.cartographiepublicitaire.org/51.159.70.213","443","OK","2024-09-30 18:14","",""
"intermediate_cert_expiration <#2>","www.cartographiepublicitaire.org/51.159.70.213","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","www.cartographiepublicitaire.org/51.159.70.213","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","0 seconds from localtime","",""
"HSTS_time","www.cartographiepublicitaire.org/51.159.70.213","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","www.cartographiepublicitaire.org/51.159.70.213","443","OK","includes subdomains","",""
"HSTS_preload","www.cartographiepublicitaire.org/51.159.70.213","443","OK","domain IS marked for preloading","",""
"HPKP","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","nginx","",""
"banner_application","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","No application banner found","",""
"cookie_count","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","0 at '/'","",""
"X-Frame-Options","www.cartographiepublicitaire.org/51.159.70.213","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","www.cartographiepublicitaire.org/51.159.70.213","443","OK","nosniff","",""
"Content-Security-Policy","www.cartographiepublicitaire.org/51.159.70.213","443","OK","upgrade-insecure-requests","",""
"Content-Security-Policy-Report-Only","www.cartographiepublicitaire.org/51.159.70.213","443","OK","default-src https: data: 'unsafe-inline' 'unsafe-eval'","",""
"Permissions-Policy","www.cartographiepublicitaire.org/51.159.70.213","443","OK","interest-cohort=()","",""
"X-XSS-Protection","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","1; mode=block","",""
"banner_reverseproxy","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","--","","CWE-200"
"heartbleed","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.cartographiepublicitaire.org/51.159.70.213","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.cartographiepublicitaire.org/51.159.70.213","443","OK","supported","","CWE-310"
"secure_client_renego","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.cartographiepublicitaire.org/51.159.70.213","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.cartographiepublicitaire.org/51.159.70.213","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.cartographiepublicitaire.org/51.159.70.213","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=F89D50AB8F983397159EFEE2DEB072D5F087649FEDF6B8925C117BF516827211","CVE-2016-0800 CVE-2016-0703","CWE-310"
